experiment_name,architecture,activation,optimizer,learning_rate,batch_size,epochs,dropout,best_validation_loss,validation_accuracy,validation_f1,test_accuracy,test_precision,test_recall,test_f1
baseline_relu_adam,"[32, 16]",relu,adam,0.001,32,80,0.0,0.2942379962909926,0.8751314405888538,0.9074975657254138,0.870925341745531,0.8699887598351442,0.9416058394160584,0.904381694255112
deeper_relu_adam,"[64, 32, 16]",relu,adam,0.001,32,100,0.0,0.29538697435609174,0.8719768664563617,0.9074320471393271,0.8698738170347003,0.8556477805846265,0.9614760746147607,0.9054802367767806
tanh_sgd,"[32, 16]",tanh,sgd,0.01,32,100,0.0,0.3058232624043015,0.8748685594111462,0.9079303675048356,0.8675078864353313,0.8646840148698884,0.943227899432279,0.9022498060512025
relu_rmsprop,"[32, 16]",relu,rmsprop,0.001,32,100,0.0,0.3040882380716791,0.8651419558359621,0.8975024975024976,0.8633017875920084,0.8797814207650273,0.9140308191403081,0.8965791567223548
relu_adam_small_lr,"[32, 16]",relu,adam,0.0003,32,120,0.0,0.30049230318575904,0.8735541535226078,0.9057786483839373,0.8651419558359621,0.8714340053252188,0.9290348742903487,0.8993130520117762
relu_adam_dropout,"[64, 32, 16]",relu,adam,0.001,32,120,0.2,0.29252278091443457,0.8824921135646687,0.9126099706744868,0.8688222923238696,0.8718336483931947,0.935117599351176,0.902367442770495
