epoch,train_loss,val_loss,train_acc,val_acc,lr
1,2.6077023877116434,0.9059604750871658,0.39460420990216427,0.746,0.001
2,1.4275828672292994,0.6996391886025667,0.6225911651348948,0.782,0.001
3,1.2058865809180848,0.6188989270310848,0.6697302104951082,0.814,0.001
4,1.1223781255393859,0.569924668177031,0.6841091016898903,0.842,0.001
5,1.0589902899074795,0.6141569314412773,0.6978209309220279,0.8,0.001
